,연월,연도,월,시도,고용률
534,2015_07,2015,7,인천광역시,61.7
535,2015_08,2015,8,인천광역시,61.3
536,2015_09,2015,9,인천광역시,61.8
537,2015_10,2015,10,인천광역시,61.7
538,2015_11,2015,11,인천광역시,62.1
539,2015_12,2015,12,인천광역시,61.3
540,2016_01,2016,1,인천광역시,61.1
541,2016_02,2016,2,인천광역시,60.6
542,2016_03,2016,3,인천광역시,61.3
543,2016_04,2016,4,인천광역시,62.0
544,2016_05,2016,5,인천광역시,62.6
545,2016_06,2016,6,인천광역시,62.1
546,2016_07,2016,7,인천광역시,62.9
547,2016_08,2016,8,인천광역시,62.3
548,2016_09,2016,9,인천광역시,61.8
549,2016_10,2016,10,인천광역시,61.9
550,2016_11,2016,11,인천광역시,61.7
551,2016_12,2016,12,인천광역시,61.1
552,2017_01,2017,1,인천광역시,60.2
553,2017_02,2017,2,인천광역시,60.7
554,2017_03,2017,3,인천광역시,61.3
555,2017_04,2017,4,인천광역시,61.4
556,2017_05,2017,5,인천광역시,62.4
557,2017_06,2017,6,인천광역시,62.3
558,2017_07,2017,7,인천광역시,62.2
559,2017_08,2017,8,인천광역시,61.2
560,2017_09,2017,9,인천광역시,61.9
561,2017_10,2017,10,인천광역시,62.6
562,2017_11,2017,11,인천광역시,62.1
563,2017_12,2017,12,인천광역시,61.7
564,2018_01,2018,1,인천광역시,61.6
565,2018_02,2018,2,인천광역시,61.9
566,2018_03,2018,3,인천광역시,62.8
567,2018_04,2018,4,인천광역시,62.5
568,2018_05,2018,5,인천광역시,63.5
569,2018_06,2018,6,인천광역시,63.8
570,2018_07,2018,7,인천광역시,63.6
571,2018_08,2018,8,인천광역시,62.7
572,2018_09,2018,9,인천광역시,62.9
573,2018_10,2018,10,인천광역시,63.0
574,2018_11,2018,11,인천광역시,63.3
575,2018_12,2018,12,인천광역시,63.1
576,2019_01,2019,1,인천광역시,61.5
577,2019_02,2019,2,인천광역시,61.7
578,2019_03,2019,3,인천광역시,62.3
579,2019_04,2019,4,인천광역시,62.7
580,2019_05,2019,5,인천광역시,63.1
581,2019_06,2019,6,인천광역시,63.2
582,2019_07,2019,7,인천광역시,62.5
583,2019_08,2019,8,인천광역시,62.5
584,2019_09,2019,9,인천광역시,62.9
585,2019_10,2019,10,인천광역시,62.5
586,2019_11,2019,11,인천광역시,62.8
587,2019_12,2019,12,인천광역시,62.4
588,2020_01,2020,1,인천광역시,61.1
589,2020_02,2020,2,인천광역시,61.6
590,2020_03,2020,3,인천광역시,60.6
591,2020_04,2020,4,인천광역시,60.8
592,2020_05,2020,5,인천광역시,61.8
593,2020_06,2020,6,인천광역시,61.6
594,2020_07,2020,7,인천광역시,61.8
595,2020_08,2020,8,인천광역시,61.9
596,2020_09,2020,9,인천광역시,61.3
597,2020_10,2020,10,인천광역시,61.3
598,2020_11,2020,11,인천광역시,61.8
599,2020_12,2020,12,인천광역시,60.1
600,2021_01,2021,1,인천광역시,59.0
601,2021_02,2021,2,인천광역시,60.4
602,2021_03,2021,3,인천광역시,60.8
603,2021_04,2021,4,인천광역시,61.3
604,2021_05,2021,5,인천광역시,62.2
605,2021_06,2021,6,인천광역시,62.0
606,2021_07,2021,7,인천광역시,61.5
607,2021_08,2021,8,인천광역시,61.9
608,2021_09,2021,9,인천광역시,62.1
609,2021_10,2021,10,인천광역시,61.9
610,2021_11,2021,11,인천광역시,62.4
611,2021_12,2021,12,인천광역시,60.4
612,2022_01,2022,1,인천광역시,59.8
613,2022_02,2022,2,인천광역시,61.6
614,2022_03,2022,3,인천광역시,61.7
615,2022_04,2022,4,인천광역시,62.0
616,2022_05,2022,5,인천광역시,63.0
617,2022_06,2022,6,인천광역시,63.4
618,2022_07,2022,7,인천광역시,63.6
619,2022_08,2022,8,인천광역시,63.3
620,2022_09,2022,9,인천광역시,63.6
621,2022_10,2022,10,인천광역시,63.6
622,2022_11,2022,11,인천광역시,63.9
623,2022_12,2022,12,인천광역시,62.5
624,2010_01,2010,1,광주광역시,55.7
625,2010_02,2010,2,광주광역시,56.0
626,2010_03,2010,3,광주광역시,57.3
627,2010_04,2010,4,광주광역시,57.4
628,2010_05,2010,5,광주광역시,58.4
629,2010_06,2010,6,광주광역시,58.1
630,2010_07,2010,7,광주광역시,57.7
