,연월,시도,인구수,연도,월
466,2013.11,인천광역시,2876797,2013,11
467,2013.12,인천광역시,2879782,2013,12
468,2014.01,인천광역시,2882047,2014,01
469,2014.02,인천광역시,2884824,2014,02
470,2014.03,인천광역시,2886580,2014,03
471,2014.04,인천광역시,2889258,2014,04
472,2014.05,인천광역시,2891615,2014,05
473,2014.06,인천광역시,2892483,2014,06
474,2014.07,인천광역시,2894151,2014,07
475,2014.08,인천광역시,2895292,2014,08
476,2014.09,인천광역시,2897018,2014,09
477,2014.1,인천광역시,2899071,2014,10
478,2014.11,인천광역시,2900996,2014,11
479,2014.12,인천광역시,2902608,2014,12
480,2015.01,인천광역시,2904876,2015,01
481,2015.02,인천광역시,2906603,2015,02
482,2015.03,인천광역시,2908418,2015,03
483,2015.04,인천광역시,2910307,2015,04
484,2015.05,인천광역시,2912114,2015,05
485,2015.06,인천광역시,2914271,2015,06
486,2015.07,인천광역시,2916719,2015,07
487,2015.08,인천광역시,2918982,2015,08
488,2015.09,인천광역시,2920938,2015,09
489,2015.1,인천광역시,2923030,2015,10
490,2015.11,인천광역시,2924578,2015,11
491,2015.12,인천광역시,2925815,2015,12
492,2016.01,인천광역시,2927195,2016,01
493,2016.02,인천광역시,2928596,2016,02
494,2016.03,인천광역시,2929817,2016,03
495,2016.04,인천광역시,2932141,2016,04
496,2016.05,인천광역시,2933959,2016,05
497,2016.06,인천광역시,2935314,2016,06
498,2016.07,인천광역시,2937217,2016,07
499,2016.08,인천광역시,2938902,2016,08
500,2016.09,인천광역시,2940436,2016,09
501,2016.1,인천광역시,2941793,2016,10
502,2016.11,인천광역시,2942613,2016,11
503,2016.12,인천광역시,2943069,2016,12
504,2017.01,인천광역시,2944009,2017,01
505,2017.02,인천광역시,2944266,2017,02
506,2017.03,인천광역시,2944630,2017,03
507,2017.04,인천광역시,2945305,2017,04
508,2017.05,인천광역시,2946270,2017,05
509,2017.06,인천광역시,2946915,2017,06
510,2017.07,인천광역시,2947803,2017,07
511,2017.08,인천광역시,2948014,2017,08
512,2017.09,인천광역시,2947298,2017,09
513,2017.1,인천광역시,2948098,2017,10
514,2017.11,인천광역시,2948241,2017,11
515,2017.12,인천광역시,2948542,2017,12
516,2018.01,인천광역시,2950771,2018,01
517,2018.02,인천광역시,2951629,2018,02
518,2018.03,인천광역시,2951442,2018,03
519,2018.04,인천광역시,2952476,2018,04
520,2018.05,인천광역시,2953255,2018,05
521,2018.06,인천광역시,2953883,2018,06
522,2018.07,인천광역시,2953841,2018,07
523,2018.08,인천광역시,2953206,2018,08
524,2018.09,인천광역시,2953116,2018,09
525,2018.1,인천광역시,2953333,2018,10
526,2018.11,인천광역시,2953844,2018,11
527,2018.12,인천광역시,2954642,2018,12
528,2019.01,인천광역시,2955916,2019,01
529,2019.02,인천광역시,2956063,2019,02
530,2019.03,인천광역시,2956513,2019,03
531,2019.04,인천광역시,2956700,2019,04
532,2019.05,인천광역시,2957179,2019,05
533,2019.06,인천광역시,2957024,2019,06
534,2019.07,인천광역시,2956828,2019,07
535,2019.08,인천광역시,2956525,2019,08
536,2019.09,인천광역시,2956804,2019,09
537,2019.1,인천광역시,2956984,2019,10
538,2019.11,인천광역시,2957249,2019,11
539,2019.12,인천광역시,2957026,2019,12
540,2020.01,인천광역시,2956119,2020,01
541,2020.02,인천광역시,2954955,2020,02
542,2020.03,인천광역시,2952689,2020,03
543,2020.04,인천광역시,2950972,2020,04
544,2020.05,인천광역시,2950063,2020,05
545,2020.06,인천광역시,2947217,2020,06
546,2020.07,인천광역시,2945565,2020,07
547,2020.08,인천광역시,2943491,2020,08
548,2020.09,인천광역시,2942553,2020,09
549,2020.1,인천광역시,2942233,2020,10
550,2020.11,인천광역시,2942307,2020,11
551,2020.12,인천광역시,2942828,2020,12
552,2021.01,인천광역시,2942452,2021,01
553,2021.02,인천광역시,2941705,2021,02
554,2021.03,인천광역시,2936461,2021,03
555,2021.04,인천광역시,2936214,2021,04
556,2021.05,인천광역시,2936382,2021,05
557,2021.06,인천광역시,2936367,2021,06
558,2021.07,인천광역시,2937440,2021,07
559,2021.08,인천광역시,2938429,2021,08
560,2021.09,인천광역시,2941795,2021,09
561,2021.1,인천광역시,2945009,2021,10
562,2021.11,인천광역시,2946319,2021,11
563,2021.12,인천광역시,2948375,2021,12
564,2022.01,인천광역시,2949150,2022,01
565,2022.02,인천광역시,2950978,2022,02
566,2022.03,인천광역시,2952699,2022,03
567,2022.04,인천광역시,2953260,2022,04
568,2022.05,인천광역시,2955167,2022,05
569,2022.06,인천광역시,2957066,2022,06
570,2022.07,인천광역시,2960580,2022,07
571,2022.08,인천광역시,2963117,2022,08
572,2022.09,인천광역시,2960097,2022,09
573,2022.1,인천광역시,2962388,2022,10
574,2022.11,인천광역시,2964820,2022,11
575,2022.12,인천광역시,2967314,2022,12
576,2011.01,광주광역시,1456308,2011,01
577,2011.02,광주광역시,1458195,2011,02
578,2011.03,광주광역시,1458326,2011,03
579,2011.04,광주광역시,1458814,2011,04
580,2011.05,광주광역시,1459615,2011,05
581,2011.06,광주광역시,1459862,2011,06
582,2011.07,광주광역시,1461368,2011,07
583,2011.08,광주광역시,1462915,2011,08
584,2011.09,광주광역시,1463432,2011,09
585,2011.1,광주광역시,1464073,2011,10
586,2011.11,광주광역시,1464516,2011,11
587,2011.12,광주광역시,1463464,2011,12
588,2012.01,광주광역시,1465313,2012,01
589,2012.02,광주광역시,1466516,2012,02
590,2012.03,광주광역시,1466810,2012,03
591,2012.04,광주광역시,1466676,2012,04
592,2012.05,광주광역시,1466464,2012,05
593,2012.06,광주광역시,1466388,2012,06
594,2012.07,광주광역시,1467030,2012,07
595,2012.08,광주광역시,1467979,2012,08
596,2012.09,광주광역시,1468777,2012,09
597,2012.1,광주광역시,1469614,2012,10
598,2012.11,광주광역시,1470669,2012,11
599,2012.12,광주광역시,1469216,2012,12
600,2013.01,광주광역시,1470061,2013,01
601,2013.02,광주광역시,1470969,2013,02
602,2013.03,광주광역시,1470979,2013,03
603,2013.04,광주광역시,1471324,2013,04
604,2013.05,광주광역시,1471801,2013,05
605,2013.06,광주광역시,1471867,2013,06
606,2013.07,광주광역시,1472357,2013,07
607,2013.08,광주광역시,1472807,2013,08
608,2013.09,광주광역시,1473229,2013,09
609,2013.1,광주광역시,1473576,2013,10
610,2013.11,광주광역시,1473689,2013,11
611,2013.12,광주광역시,1472910,2013,12
612,2014.01,광주광역시,1473529,2014,01
613,2014.02,광주광역시,1473327,2014,02
614,2014.03,광주광역시,1472490,2014,03
615,2014.04,광주광역시,1471850,2014,04
616,2014.05,광주광역시,1473697,2014,05
617,2014.06,광주광역시,1474546,2014,06
618,2014.07,광주광역시,1475676,2014,07
619,2014.08,광주광역시,1476459,2014,08
620,2014.09,광주광역시,1477517,2014,09
621,2014.1,광주광역시,1477780,2014,10
622,2014.11,광주광역시,1478204,2014,11
623,2014.12,광주광역시,1475884,2014,12
624,2015.01,광주광역시,1476891,2015,01
625,2015.02,광주광역시,1477340,2015,02
626,2015.03,광주광역시,1477504,2015,03
627,2015.04,광주광역시,1477609,2015,04
628,2015.05,광주광역시,1477212,2015,05
629,2015.06,광주광역시,1476974,2015,06
630,2015.07,광주광역시,1476716,2015,07
