,년월,연도,월,시도,사용량,위도,경도
333,2019_4,2019,4,경상남도,2853723,35.460156,128.215601
334,2020_4,2020,4,경상남도,2735448,35.460156,128.215601
335,2021_4,2021,4,경상남도,2881552,35.460156,128.215601
336,2010_5,2010,5,경상남도,2453568,35.460156,128.215601
337,2011_5,2011,5,경상남도,2557899,35.460156,128.215601
338,2012_5,2012,5,경상남도,2541447,35.460156,128.215601
339,2013_5,2013,5,경상남도,2624201,35.460156,128.215601
340,2014_5,2014,5,경상남도,2590845,35.460156,128.215601
341,2015_5,2015,5,경상남도,2632161,35.460156,128.215601
342,2016_5,2016,5,경상남도,2638097,35.460156,128.215601
343,2017_5,2017,5,경상남도,2587207,35.460156,128.215601
344,2018_5,2018,5,경상남도,2664333,35.460156,128.215601
345,2019_5,2019,5,경상남도,2664244,35.460156,128.215601
346,2020_5,2020,5,경상남도,2446865,35.460156,128.215601
347,2021_5,2021,5,경상남도,2712794,35.460156,128.215601
348,2010_6,2010,6,경상남도,2429359,35.460156,128.215601
349,2011_6,2011,6,경상남도,2584721,35.460156,128.215601
350,2012_6,2012,6,경상남도,2561147,35.460156,128.215601
351,2013_6,2013,6,경상남도,2559834,35.460156,128.215601
352,2014_6,2014,6,경상남도,2590503,35.460156,128.215601
353,2015_6,2015,6,경상남도,2629378,35.460156,128.215601
354,2016_6,2016,6,경상남도,2657835,35.460156,128.215601
355,2017_6,2017,6,경상남도,2683615,35.460156,128.215601
356,2018_6,2018,6,경상남도,2694747,35.460156,128.215601
357,2019_6,2019,6,경상남도,2637434,35.460156,128.215601
358,2020_6,2020,6,경상남도,2569712,35.460156,128.215601
359,2021_6,2021,6,경상남도,2822799,35.460156,128.215601
360,2010_7,2010,7,경상남도,2550149,35.460156,128.215601
361,2011_7,2011,7,경상남도,2690200,35.460156,128.215601
362,2012_7,2012,7,경상남도,2623501,35.460156,128.215601
363,2013_7,2013,7,경상남도,2806015,35.460156,128.215601
364,2014_7,2014,7,경상남도,2739786,35.460156,128.215601
365,2015_7,2015,7,경상남도,2709947,35.460156,128.215601
366,2016_7,2016,7,경상남도,2799026,35.460156,128.215601
367,2017_7,2017,7,경상남도,2873069,35.460156,128.215601
368,2018_7,2018,7,경상남도,2872740,35.460156,128.215601
369,2019_7,2019,7,경상남도,2809322,35.460156,128.215601
370,2020_7,2020,7,경상남도,2698203,35.460156,128.215601
371,2021_7,2021,7,경상남도,3008611,35.460156,128.215601
372,2010_8,2010,8,경상남도,2600386,35.460156,128.215601
373,2011_8,2011,8,경상남도,2671624,35.460156,128.215601
374,2012_8,2012,8,경상남도,2735873,35.460156,128.215601
375,2013_8,2013,8,경상남도,2707443,35.460156,128.215601
376,2014_8,2014,8,경상남도,2644061,35.460156,128.215601
377,2015_8,2015,8,경상남도,2763484,35.460156,128.215601
378,2016_8,2016,8,경상남도,2912513,35.460156,128.215601
379,2017_8,2017,8,경상남도,2960983,35.460156,128.215601
380,2018_8,2018,8,경상남도,3145720,35.460156,128.215601
381,2019_8,2019,8,경상남도,2968281,35.460156,128.215601
382,2020_8,2020,8,경상남도,2840866,35.460156,128.215601
383,2021_8,2021,8,경상남도,3128818,35.460156,128.215601
384,2010_9,2010,9,경상남도,2594082,35.460156,128.215601
385,2011_9,2011,9,경상남도,2591648,35.460156,128.215601
386,2012_9,2012,9,경상남도,2615171,35.460156,128.215601
387,2013_9,2013,9,경상남도,2658966,35.460156,128.215601
388,2014_9,2014,9,경상남도,2569954,35.460156,128.215601
389,2015_9,2015,9,경상남도,2652444,35.460156,128.215601
390,2016_9,2016,9,경상남도,2745413,35.460156,128.215601
391,2017_9,2017,9,경상남도,2879660,35.460156,128.215601
392,2018_9,2018,9,경상남도,2806144,35.460156,128.215601
393,2019_9,2019,9,경상남도,2814273,35.460156,128.215601
394,2020_9,2020,9,경상남도,2971651,35.460156,128.215601
395,2021_9,2021,9,경상남도,2906446,35.460156,128.215601
396,2010_10,2010,10,경상남도,2428098,35.460156,128.215601
397,2011_10,2011,10,경상남도,2548905,35.460156,128.215601
398,2012_10,2012,10,경상남도,2387768,35.460156,128.215601
399,2013_10,2013,10,경상남도,2550466,35.460156,128.215601
400,2014_10,2014,10,경상남도,2580948,35.460156,128.215601
401,2015_10,2015,10,경상남도,2584405,35.460156,128.215601
402,2016_10,2016,10,경상남도,2593761,35.460156,128.215601
403,2017_10,2017,10,경상남도,2456870,35.460156,128.215601
404,2018_10,2018,10,경상남도,2628697,35.460156,128.215601
405,2019_10,2019,10,경상남도,2671846,35.460156,128.215601
