,년월,연도,월,시도,사용량
427,2011.3,2011,03,경상남도,2874490
428,2011.3,2011,03,경상북도,3779253
429,2011.3,2011,03,광주광역시,672951
430,2011.3,2011,03,대구광역시,1234507
431,2011.3,2011,03,대전광역시,757165
432,2011.3,2011,03,부산광역시,1704632
433,2011.3,2011,03,서울특별시,3736362
434,2011.3,2011,03,세종특별자치시,0
435,2011.3,2011,03,울산광역시,2302130
436,2011.3,2011,03,인천광역시,1925528
437,2011.3,2011,03,전라남도,2249390
438,2011.3,2011,03,전라북도,1823953
439,2011.3,2011,03,제주특별자치도,301595
440,2011.3,2011,03,충청남도,3649257
441,2011.3,2011,03,충청북도,1795514
442,2012.3,2012,03,강원도,1471927
443,2012.3,2012,03,경기도,8665829
444,2012.3,2012,03,경상남도,2976283
445,2012.3,2012,03,경상북도,3959571
446,2012.3,2012,03,광주광역시,696422
447,2012.3,2012,03,대구광역시,1281521
448,2012.3,2012,03,대전광역시,785989
449,2012.3,2012,03,부산광역시,1794675
450,2012.3,2012,03,서울특별시,3837539
451,2012.3,2012,03,세종특별자치시,0
452,2012.3,2012,03,울산광역시,2488226
453,2012.3,2012,03,인천광역시,1938203
454,2012.3,2012,03,전라남도,2322324
455,2012.3,2012,03,전라북도,1932255
456,2012.3,2012,03,제주특별자치도,332926
457,2012.3,2012,03,충청남도,3944672
458,2012.3,2012,03,충청북도,1879751
459,2013.3,2013,03,강원도,1401610
460,2013.3,2013,03,경기도,8564516
461,2013.3,2013,03,경상남도,2852239
462,2013.3,2013,03,경상북도,3862004
463,2013.3,2013,03,광주광역시,658528
464,2013.3,2013,03,대구광역시,1214829
465,2013.3,2013,03,대전광역시,752100
466,2013.3,2013,03,부산광역시,1660595
467,2013.3,2013,03,서울특별시,3652776
468,2013.3,2013,03,세종특별자치시,193991
469,2013.3,2013,03,울산광역시,2359822
470,2013.3,2013,03,인천광역시,1914157
471,2013.3,2013,03,전라남도,2561902
472,2013.3,2013,03,전라북도,1884301
473,2013.3,2013,03,제주특별자치도,331589
474,2013.3,2013,03,충청남도,3808302
475,2013.3,2013,03,충청북도,1831061
476,2014.3,2014,03,강원도,1394556
477,2014.3,2014,03,경기도,8604750
478,2014.3,2014,03,경상남도,2944134
479,2014.3,2014,03,경상북도,4015412
480,2014.3,2014,03,광주광역시,683278
481,2014.3,2014,03,대구광역시,1246283
482,2014.3,2014,03,대전광역시,757265
483,2014.3,2014,03,부산광역시,1675854
484,2014.3,2014,03,서울특별시,3547923
485,2014.3,2014,03,세종특별자치시,208030
486,2014.3,2014,03,울산광역시,2565806
487,2014.3,2014,03,인천광역시,1876836
488,2014.3,2014,03,전라남도,2804619
489,2014.3,2014,03,전라북도,1930533
490,2014.3,2014,03,제주특별자치도,359620
